"V1","V2"
274,9052.72606
275,9338.10499
276,9170.09965
277,9177.00398
278,9600.46949
279,9458.93075
280,9316.24128
281,9384.13385
282,9646.49835
283,9542.93342
284,9572.85218
285,9602.77094
286,9605.07238
287,9689.07505
288,9796.09215
289,9775.37916
290,9790.33854
291,9768.47483
292,9836.3674
293,9805.29792
294,9760.41978
295,9967.54965
296,9885.84843
297,10201.14612
298,10258.68219
299,10294.35456
300,10290.9024
301,10649.9275
302,10844.39944
303,11378.33422
304,11954.84569
305,12465.76604
306,13340.31438
307,14589.99793
308,15602.63285
309,16831.60342
310,17954.7076
311,19745.23026
312,21489.72406
313,23421.78546
314,25197.34874
315,27519.50473
316,30338.77241
317,32502.12883
318,35793.19233
319,39972.61283
320,42763.11247
321,47506.3865
322,51612.16082
323,56356.58558
324,61110.21611
325,66169.93855
326,72183.60912
327,78827.87508
328,85850.72841
329,93226.85324
330,100840.0267
331,109710.93876
332,119017.97427
333,128726.61159
334,140243.03238
335,149401.62482
336,163028.46885
337,175658.78806
338,189045.1313
339,203009.13673
340,217885.66431
341,234054.45214
342,249046.05187
343,267699.24743
344,285083.19716
345,303758.25643
346,322141.03243
347,340453.61442
348,358388.75975
349,379159.28287
350,396582.35714
351,413030.77029
352,429171.94081
353,445589.28448
354,460693.65492
355,474019.00992
356,485124.62314
357,491873.60475
358,499210.60505
359,503442.95874
360,504679.98435
361,501286.50664
362,496231.38708
363,488072.77163
364,476360.72818
365,463115.92368
366,445790.66074
367,425799.17608
368,405538.42259
369,381958.98829
370,355735.19597
371,329719.68424
372,302576.46544
373,275098.38669
374,247632.96587
375,221574.87745
376,195200.34061
377,171891.32586
378,149215.20794
379,129105.19896
380,110609.65225
381,93467.35403
382,78911.87775
383,66003.08393
384,56418.72454
385,46866.58535
386,40336.24082
387,34536.60445
388,30324.96375
389,27472.32515
390,24966.05372
391,23259.53373
392,21755.54072
393,21405.72139
394,20345.90688
395,19982.27889
396,19562.26554
397,19214.74765
398,19078.96251
399,19309.10681
400,19368.94433
401,19148.0058
402,18960.43819
403,19104.27838
404,19150.30724
405,19291.84599
406,19527.7439
407,19527.7439
408,19693.44779
409,19563.41626
410,20143.3799
411,20271.10999
412,20044.41785
413,20724.49426
414,20808.49693
415,21389.61129
416,21237.71605
417,21334.37665
418,21749.78712
419,22036.31677
