"V1","V2"
274,655.66803
275,639.9257
276,667.47477
277,654.88091
278,628.90607
279,664.32631
280,650.94533
281,705.25636
282,684.79134
283,665.90054
284,679.28152
285,750.122
286,662.75207
287,731.23121
288,695.81097
289,730.44409
290,709.19195
291,733.59256
292,752.48335
293,742.25084
294,680.85575
295,770.58703
296,721.78581
297,664.32631
298,714.70176
299,771.37415
300,709.19195
301,773.7355
302,774.52261
303,837.49193
304,905.18395
305,875.27352
306,1020.89007
307,1159.42257
308,1192.48146
309,1341.24648
310,1426.25506
311,1551.40658
312,1661.60288
313,1917.41574
314,2172.44148
315,2302.3157
316,2582.52916
317,2873.76226
318,3186.2475
319,3441.27324
320,3757.69406
321,4198.47929
322,4446.42098
323,5058.01048
324,5583.01717
325,6145.80546
326,6555.89314
327,7212.34828
328,7845.97705
329,8678.74628
330,9468.22411
331,10356.87861
332,11145.56932
333,12018.48149
334,13184.98811
335,14341.26222
336,15110.27502
337,16619.17731
338,17852.58883
339,19238.70094
340,20520.91368
341,21917.25832
342,23517.46611
343,24931.91442
344,26297.56151
345,28112.65211
346,29449.17589
347,31121.7984
348,32296.9633
349,33733.45088
350,34560.71029
351,35818.52242
352,36669.39534
353,37567.49524
354,38033.46819
355,37873.68355
356,37529.71365
357,37292.79159
358,36353.76163
359,35489.50774
360,33930.23
361,31984.47806
362,29795.50714
363,28026.0693
364,25463.21805
365,23079.04224
366,20513.04252
367,17908.4741
368,15402.29523
369,12903.20042
370,10972.4037
371,9188.79776
372,7406.76605
373,6004.12449
374,4858.87002
375,3956.83453
376,3290.14688
377,2811.58006
378,2504.60463
379,2139.38259
380,2019.74088
381,1862.31759
382,1841.06544
383,1721.42374
384,1743.463
385,1712.76546
386,1619.09859
387,1697.81024
388,1657.6673
389,1664.75135
390,1701.74582
391,1588.40105
392,1706.46852
393,1614.3759
394,1605.71761
395,1622.24706
396,1578.16854
397,1672.62251
398,1517.56057
399,1633.26669
400,1634.84092
401,1600.2078
402,1504.17959
403,1613.58878
404,1524.64462
405,1607.29185
406,1613.58878
407,1668.68693
408,1671.8354
409,1774.16054
410,1705.68141
411,1790.68999
412,1895.37648
413,1841.06544
414,1836.34274
415,1943.39058
416,1942.60347
417,1986.68199
418,2062.24517
419,1952.04886
420,2015.01818
421,1978.02371
422,2003.99855
423,2008.72125
424,2005.57278
425,2005.57278
426,1944.96482
427,1933.15807
