"V1","V2"
344.45,9
345.15,11
345.75,8
346.65,10
347.35,9
348.25,12
348.75,11
349.65,12
350.25,12
351.05,12
351.95,14
352.55,17
353.25,14
354.05,17
354.75,16
355.45,20
356.25,18
357.05,21
357.85,23
358.45,23
359.25,25
360.05,28
360.75,29
361.45,29
362.25,32
362.85,37
363.75,36
364.35,38
365.25,40
365.95,44
366.65,46
367.45,50
368.15,52
368.95,57
369.85,62
370.45,64
371.15,66
371.95,72
372.65,75
373.55,81
374.15,83
374.85,87
375.65,97
376.45,98
377.05,102
377.75,110
378.55,114
379.35,114
380.05,120
380.85,125
381.55,129
382.25,134
382.95,138
383.85,136
384.65,144
385.35,143
386.05,148
386.75,147
387.45,140
388.35,142
389.05,147
389.85,138
390.55,137
391.45,135
392.05,128
392.85,125
393.55,124
394.25,123
395.15,113
395.85,109
396.65,102
397.35,102
398.05,100
398.85,94
399.55,94
400.35,95
401.15,93
401.85,96
402.55,92
403.45,97
404.15,99
404.85,102
405.55,102
406.45,110
407.15,115
407.95,119
408.45,124
409.25,132
409.85,137
410.65,144
411.45,152
412.05,158
412.95,164
413.65,167
414.35,179
415.15,187
415.85,195
416.45,202
417.25,213
418.05,218
418.75,225
419.65,231
420.35,241
421.05,252
421.85,256
422.75,265
423.45,268
424.05,274
424.85,271
425.55,282
426.15,283
426.95,284
427.65,287
428.35,279
429.05,279
429.75,280
430.55,282
431.25,271
432.15,268
432.85,260
433.45,256
434.25,251
435.05,251
435.85,243
436.35,241
437.15,236
437.95,228
438.65,238
439.35,233
440.05,226
440.85,230
441.45,236
442.25,243
443.15,238
443.85,253
444.55,257
445.35,267
446.05,276
446.75,281
447.35,292
448.25,306
448.85,318
449.55,329
450.35,336
450.95,352
451.85,359
452.45,364
453.25,380
453.95,392
454.85,407
455.55,417
456.15,427
456.95,440
457.85,448
458.65,457
459.25,468
459.95,469
460.85,473
461.65,479
462.15,484
463.05,482
463.85,483
464.45,481
465.35,485
466.15,480
466.85,484
467.65,485
468.35,480
469.05,478
469.75,480
470.65,481
471.35,491
472.05,501
472.75,518
473.65,526
474.45,532
475.25,552
475.95,567
476.75,584
477.45,615
478.35,632
479.25,659
479.95,676
480.65,683
481.55,697
482.35,712
483.25,724
484.05,719
484.65,726
485.55,724
486.25,717
487.05,704
487.65,687
488.45,665
489.15,638
489.95,592
490.75,560
491.35,524
492.15,476
492.75,434
493.65,396
494.35,353
495.25,304
495.95,259
496.55,225
497.25,188
498.15,157
498.85,130
499.55,111
500.25,87
501.15,71
501.75,59
502.35,53
503.25,45
504.05,39
504.75,34
505.45,35
506.25,31
507.05,28
507.75,28
508.45,28
509.15,27
509.95,25
510.65,25
511.35,27
512.05,26
512.85,24
513.75,25
514.45,26
515.15,23
515.95,24
516.65,24
517.35,22
518.15,24
518.85,22
519.65,23
520.35,24
521.05,23
521.75,23
522.65,23
523.25,21
523.85,24
524.85,24
525.45,21
526.25,21
526.95,21
527.85,21
528.45,22
529.35,24
529.95,21
530.65,21
531.55,22
532.05,21
532.85,21
533.75,22
534.35,21
