T(K),8kGy
315,0
315,0
315,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
315,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
315,0
316,0
315,0
315,0
316,0
315,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
315,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
317,0
317,0
317,0
317,0
318,0
319,0
320,0
320,0
321,0
321,0
322,0
323,0
324,0
325,0
325,0
325,0
327,0
327,0
328,0
329,0
330,0
331,0
332,0
332,0
333,0
334,0
335,0
336,0
336,0
337,0
338,0
339,0
339,0
340,0
341,0
342,0
343,0
344,0
344,0
345,0
346,0
347,0
347,0
349,0
349,0
351,0
351,0
352,0
353,0
354,0
354,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
362,0
364,0
364,0
365,0
365,0
366,0
367,0
367,0
368,0
369,0
369,0
370,0
371,0
371,0
372,0
373,0
374,0
376,0
377,0
377,0
377,0
379,0
379,1
380,0
381,1
382,0
383,1
384,1
384,0
385,1
386,1
387,1
388,1
389,1
389,1
389,1
391,1
392,1
392,1
393,1
393,1
394,1
394,1
393,1
393,1
393,2
393,1
393,2
393,1
392,1
392,2
393,1
392,2
393,1
393,2
393,1
393,1
393,2
393,1
393,2
393,1
393,2
393,1
393,1
393,2
393,1
393,2
392,1
393,2
393,1
394,2
394,1
394,2
394,1
393,2
394,1
394,1
394,2
393,1
393,2
393,1
393,2
393,1
393,2
393,1
393,2
393,1
393,1
394,2
394,1
394,2
394,1
394,2
394,1
394,2
394,1
393,2
394,1
393,2
393,1
394,2
393,1
393,2
394,1
394,2
394,1
394,2
394,1
394,2
394,1
394,2
393,1
393,2
393,1
393,2
393,2
393,1
393,2
394,1
393,2
393,1
393,2
394,1
394,2
394,2
393,1
393,2
393,1
393,2
393,1
393,2
393,2
393,1
392,2
393,2
393,2
393,2
393,1
393,2
394,2
394,2
394,2
395,2
395,2
395,2
396,2
396,2
397,2
399,2
399,2
400,2
400,2
401,2
401,2
402,3
402,3
403,3
403,3
404,3
405,3
406,3
406,3
407,3
407,4
408,4
408,4
409,4
410,4
410,4
411,5
412,5
411,5
412,5
413,5
414,6
414,6
415,6
416,6
416,7
417,7
417,7
418,8
418,8
419,8
420,8
420,9
420,9
421,9
422,10
422,10
423,11
424,11
424,11
425,12
426,13
426,13
427,13
427,13
428,14
428,14
429,15
430,15
431,15
431,16
431,17
432,17
433,18
433,18
434,19
434,19
434,20
435,21
436,21
437,22
437,22
438,23
438,24
439,24
440,25
441,26
441,26
441,27
442,27
443,28
443,29
443,29
444,30
445,31
445,32
445,32
446,34
447,34
447,34
447,35
448,36
449,36
449,37
450,38
451,39
452,40
453,41
454,41
454,41
455,42
455,42
456,44
457,44
457,45
457,45
458,46
458,47
459,48
459,48
460,49
460,49
461,50
461,51
462,51
462,51
462,52
463,52
465,52
465,53
466,53
467,54
467,55
467,55
468,55
468,55
469,56
470,57
470,57
471,57
471,57
472,57
472,57
473,58
473,57
474,58
475,58
475,57
477,57
477,56
478,56
478,55
479,56
480,55
480,55
481,54
481,54
482,53
482,53
483,52
484,51
485,51
485,51
486,50
486,50
486,50
487,49
488,48
488,47
489,46
489,45
490,44
491,43
491,43
492,42
492,41
493,40
494,39
494,38
495,38
495,37
496,36
497,35
497,34
497,33
498,32
499,31
499,30
500,29
500,29
501,28
501,27
502,26
502,26
503,25
504,25
505,24
505,23
506,23
507,22
507,22
507,21
508,20
509,20
510,20
510,19
511,19
511,18
511,18
511,18
512,17
513,16
514,16
515,16
515,16
516,15
517,15
517,15
517,14
517,14
518,14
519,14
520,13
520,13
521,13
522,13
521,13
522,12
523,12
